IBRA - Carteira do Dia 24/06/21
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
TOTS3;TOTVS;ON      NM;480.228.410;0,617;
TRPL4;TRAN PAULIST;PN      N1;395.797.044;0,351;
TRIS3;TRISUL;ON      NM;78.643.944;0,027;
TUPY3;TUPY;ON      NM;66.821.197;0,054;
UGPA3;ULTRAPAR;ON      NM;1.085.987.426;0,705;
UNIP6;UNIPAR;PNB;44.332.601;0,142;
USIM5;USIMINAS;PNA     N1;513.796.208;0,324;
VALE3;VALE;ON  ED  NM;4.997.125.690;18,786;
VLID3;VALID;ON      NM;78.582.401;0,026;
VVAR3;VIAVAREJO;ON      NM;1.595.508.601;0,855;
VIVA3;VIVARA S.A.;ON      NM;93.368.726;0,106;
VULC3;VULCABRAS;ON      NM;74.685.291;0,024;
WEGE3;WEG;ON      NM;1.482.296.002;1,706;
WIZS3;WIZ S.A.;ON      NM;77.719.799;0,041;
YDUQ3;YDUQS PART;ON      NM;300.483.575;0,361;
Quantidade Teórica Total;;;101.889.008.898;100,000
Redutor;;;566.470.327,33334266
